City,Population,Classification,Political Stance
Lac du Bonnet,3563,small,Conservative
High Level,3922,small,Conservative
Casselman,3960,small,Liberal
Utterson,21147,small,Conservative
Inuvik,3137,small,Liberal
Parry Sound,6879,small,Conservative
Lasalle,82235,medium,Liberal
Hearst,4794,small,NDP
Saint-Romuald,13435,small,Conservative
Golden,3986,small,Conservative
Waterville,703,rural,Conservative
Sainte-anne-de-madawaska,891,rural,Liberal
Saint-Hyacinthe,57239,medium,Bloc
Gogama,310,rural,Liberal
Inverness,17346,small,Liberal
Kemptville,4051,small,Conservative
Shediac,7535,small,Liberal
Oakbank,5041,small,Conservative
Ste. Anne,5584,small,Conservative
Whatì,543,rural,Liberal
Scanterbury,5414,small,Conservative
Caledonia,12179,small,Conservative
Terrace,12017,small,NDP
Bala,7652,small,Conservative
Moose Factory,495,rural,NDP
Welland,55750,medium,Liberal
Barry's Bay,1084,small,Conservative
Bay St. George,1135,small,Liberal
Yarmouth,6829,small,Conservative
Aldergrove,13105,small,Conservative
Elmsdale,413,rural,Liberal
Pembroke,14364,small,Conservative
Cobble Hill,972,rural,NDP
Tatamagouche,691,rural,Conservative
Penetanguishene,10077,small,Conservative
Stellarton,4007,small,Liberal
Walkerton,4724,small,Conservative
Kitimat,8236,small,NDP
North Battleford,104,rural,Conservative
Greater Napanee,16879,small,Conservative
Goderich,7881,small,Conservative
Mayo,188,rural,Liberal
Comox,14806,small,NDP
Middleton,1873,small,Conservative
Notre-Dame-de-Grâce,105601,large,Liberal
Dresden,2401,small,Conservative
Deer Lake,1087,small,Conservative
Orleans,139309,large,Liberal
Tees,73,rural,Conservative
Watson Lake,1133,small,Liberal
Petrolia,6013,small,Conservative
Plantagenet,1056,small,Liberal
Arnprior,9629,small,Conservative
Comox Valley,7926,small,NDP
Innisfil,43326,medium,Conservative
Meaford,11485,small,Conservative
Notre-dame-des-pins,1812,small,Conservative
Shilo,3011,small,Conservative
Hagersville,3059,small,Conservative
Shawnigan Lake,3908,small,NDP
Brentwood Bay,712,rural,Green
Laurentides,15768,small,Conservative
Vaudreuil-Dorion,43268,medium,Liberal
Lemoyne,4425,small,Liberal
Saint-Jérôme,80213,medium,Bloc
Stayner,4699,small,Conservative
Magog,28312,small,Liberal
